, 1
Advanced_Recon_Commando, 1
Force-sensitive, 1
Commander, 1
Plo_Koon, 1
Obi-Wan_Kenobi, 1
Count, 1
Chuang, 1
Jedi_Master, 1
Chewbacca, 1
Padm%C3%A9_Amidala, 1
Tiplar, 1
Grievous, 1
Barriss_Offee, 1
The_Grand_Inquisitor, 1
Yoda, 1
Scavenger, 1
Pyke_Syndicate, 1
Shaak_Ti, 1
Droideka, 1
Rig_Nema, 1
Captain, 1
Battle_droid, 1
Jabba_Desilijic_Tiure, 1
Finis_Valorum, 1
CT-5555, 1
Bail_Organa, 1
Darth_Sidious, 1
Darth, 1
Hutt, 1
Jedi_Temple_Guard, 1
Invasion_of_Naboo, 1
Tu-Anh, 1
Fifth_Brother, 1
Depa_Billaba, 1
Asajj_Ventress, 1
Luminara_Unduli, 1
Yoda/Legends, 1
Cloning, 1
Inquisitorius, 1
Battle_of_Naboo, 1
Naboo, 1
Gungan, 1
Jedi_Knight, 1
Katuunko, 1
Kanan_Jarrus, 1
Dooku, 1
Dark_Lord_of_the_Sith, 1
Ahsoka_Tano, 1
Sith_Lord, 1
Ezra_Bridger, 1
Rey, 1
Sith_apprentice, 1
Tholme, 1
K%27ungfu, 1
Kylo_Ren, 1
King, 1
CC-1004, 1
Grand_Master, 1
Dathomirian, 1
Medical_droid, 1
501st_Legion, 1
R2-D2, 1
Nightsisters, 1
Senator, 1
Astromech_droid, 1
Bounty_hunter, 1
Jocasta_Nu, 1
Anakin_Skywalker, 1
Sexes, 1
General, 1
Letta_Turmond, 1
Sifo-Dyas, 1
Defender_of_the_Home_Tree, 1
Darth_Maul, 1
Galactic_Emperor, 1
Katooni, 1
Clone_trooper, 1
Dark_Jedi, 1
Rotta, 1
Luke_Skywalker, 1
Admiral, 1
Ki-Adi-Mundi, 1
Supreme_Chancellor, 1
CT-7567, 1
Yoda%27s_Jedi_master, 1
Tarfful, 1
CT-5385, 1
Mace_Windu, 1
Wullf_Yularen, 1
Huyang, 1
Leia_Organa, 1
Jango_Fett, 1
Padawan, 1
Seventh_Sister, 1
